IA.Name,Member.ID,Start.Date,End.Date,IA.ID,IA.Group.1,IA.Group.2,Type,City,Voivodship,Full.Name,Age,Gender,RT.Affiliation,Profession
Warsaw Uprising,49,1944-08-01,1944-10-02,IA01368,POWWAW,NA,Protest Action,NA,NA,Władysław Findeisen,63,M,Opposition,Academic Electrical Engineer
Inter-factory Strike Committee Wrocław,50,1980-08-01,1980-08-31,IA00558,MKSW,NA,Protest Action,NA,NA,Władysław Frasyniuk,34,M,Opposition,Worker Bus Mechanic
Jewish Historical Institute,51,1987-01-01,1989-02-01,IA00609,JHI,NA,Research Institue,NA,NA,Marek Frąckowiak,31,M,Opposition,Worker Librarian
Warsaw University Faculty of History,53,1951-09-01,1955-08-31,IA01333,UW,FHIST,Postsecondary School,NA,NA,Bronisław Geremek,56,M,Opposition,Academic Historian
Warsaw University Institute of Sociology,54,1970-09-01,1989-02-01,IA01354,UW,ISOC,Postsecondary School,NA,NA,Grażyna Gęsicka,37,F,Opposition,Academic Sociologist
School of Technical-Mechanical Metallurgy in Nowa Huta,55,1961-01-01,1963-12-31,IA01151,STMMNH,NA,Postsecondary School,NA,NA,Mieczysław Gil,45,M,Opposition,Worker Steel
Warsaw University Faculty of Law and Administration,56,1959-09-01,1989-02-01,IA01336,UW,FLAA,Postsecondary School,NA,NA,Maria Gintowt-Jankowicz,45,F,Opposition,Lawyer
Wrocław Polytechnic Faculty of Mining,57,1965-09-01,1975-08-31,IA01383,WRPOLY,FMIN,Postsecondary School,NA,NA,Andrzej Glapiński,44,M,Opposition,Worker Miner
Warsaw University Faculty of Law and Administration,58,1984-09-01,1989-02-01,IA01336,UW,FLAA,Postsecondary School,NA,NA,Elżbieta Golik,24,F,Opposition,Academic Student
Gdańsk Shipyards,59,1960-01-01,1970-12-31,IA00475,GSHIP,NA,Factory,Gdańsk,NA,Bogusław Kazimierz Gołąb,42,M,Opposition,Worker Mechanic
Warsaw University Faculty of Economics,60,1968-09-01,1975-08-31,IA01330,UW,FECON,Postsecondary School,NA,NA,Helena Góralska,41,F,Opposition,Academic Economist
Jan Rabinowski Railway Technical College of the Ministry of Transportation Warsaw,61,1973-09-01,1976-08-31,IA00607,MINTR,JRRTC,High School,NA,NA,Jan Andrzej Górny,33,M,Opposition,Worker Computer Systems
KIK Warsaw,62,1956-01-01,1989-02-01,IA00624,KIK,WAW,Salon,NA,NA,Stanisława Grabska,66,F,Opposition,Academic Artist and Theologian
NSZZ Solidarność Member,64,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Władysław Grocki,34,M,Opposition,Worker Mining Technician
NSZZ Solidarność Member,65,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Andrzej Grudziński,64,M,Opposition,Academic Architect
NSZZ Solidarność Member,66,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Janusz Grzelak,47,M,Opposition,Academic Psychologist
Factory Committee Solidarność Medical Academy Poznań,67,1980-09-01,1981-12-31,IA00410,FCMAP,NA,Protest Action,NA,NA,Anna Grzymisławska,41,F,Opposition,Lawyer
Copernicus University Faculty of Mathematics and Natural Sciences,68,1948-09-01,1960-08-31,IA00350,KU,FMNS,Postsecondary School,NA,NA,Jerzy Grzywacz,60,M,Opposition,Academic Physics
Warsaw University Faculty of Economics,69,1971-09-01,1975-08-31,IA01330,UW,FECON,Postsecondary School,NA,NA,Krzysztof Hagemejer,37,M,Opposition,Academic Economics
Gdańsk University Humanities Division,70,1973-09-01,1977-08-31,IA00477,GU,DHUM,Postsecondary School,Gdańsk,NA,Aleksander Hall,35,M,Opposition,Academic historian
Vilnius University Faculty of Medicine,71,1935-09-01,1939-08-31,IA01283,UV,FMED,Postsecondary School,NA,NA,Arwid Yrio Hansen,71,M,Opposition,Medical Doctor
State Technical School of Chemistry Gorzow Wielkopolski,72,1951-09-01,1955-08-31,IA01213,STSCGW,NA,Postsecondary School,NA,NA,Stefania Hejmanowska,51,F,Opposition,Worker Chemist
Warsaw University Faculty of Biology,73,1953-09-01,1961-08-31,IA01328,UW,FBIO,Postsecondary School,NA,NA,Maciej Tadeusz Iłowiecki,53,M,Opposition,Journalist
Lenin Shipyards Gdańsk,74,1986-01-01,1989-02-01,IA00649,LSYG,NA,Factory,NA,NA,Wiesław Isio,37,M,Opposition,Worker
Warsaw University Faculty of Polish Philology,75,1958-09-01,1961-08-31,IA01344,UW,FPPH,Postsecondary School,NA,NA,Janina Jankowska,49,F,Opposition,Journalist
Warsaw University Faculty of Polish Philology,76,1952-09-01,1955-08-31,IA01344,UW,FPPH,Postsecondary School,NA,NA,Andrzej Janowski,53,M,Opposition,Academic Polonist
Main School of Agriculture Warsaw Faculty of Horticulture,77,1966-09-01,1988-08-31,IA01365,SGGW,FHORT,Postsecondary School,NA,NA,Gabriel Janowski,41,M,Opposition,Academic Agriculture
Medical Academy Gdańsk,80,1981-01-01,1989-02-01,IA00713,MEDAG,NA,Postsecondary School,NA,NA,Jerzy Jaśkowski,40,M,Opposition,Medical Doctor
Warsaw University Faculty of Law and Administration,81,1960-09-01,1964-08-31,IA01336,UW,FLAA,Postsecondary School,NA,NA,Wiesław Johann,49,M,Opposition,Lawyer
Warsaw University Faculty of Economics,82,1952-09-01,1956-08-31,IA01330,UW,FECON,Postsecondary School,NA,NA,Cezary Józefiak,56,M,Opposition,Academic Economics
Lwow Polytechnic,83,1942-09-01,1944-08-31,IA00674,LPOLY,NA,Postsecondary School,NA,NA,Stanisław Juchnowicz,65,M,Opposition,Academic Architect
Jagiellonian University Faculty of Polish Philology,85,1952-09-01,1956-08-31,IA00601,UJ,FPP,Postsecondary School,NA,NA,Mieczysław Kaczanowski,54,M,Opposition,Journalist
Warsaw University Faculty of Law and Administration,86,1967-09-01,1971-08-31,IA01336,UW,FLAA,Postsecondary School,NA,NA,Jarosław Kaczyński,39,M,Opposition,Lawyer
Warsaw University Faculty of Law and Administration,87,1967-09-01,1971-08-31,IA01336,UW,FLAA,Postsecondary School,NA,NA,Lech Kaczyński,39,M,Opposition,Lawyer
Medical Academy Warsaw,88,1985-09-01,1989-02-01,IA00728,MEDAW,NA,Postsecondary School,NA,NA,Witold Paweł Kalbarczyk,22,M,Opposition,Student
Copernicus University Humanities Faculty,89,1955-09-01,1960-08-31,IA00351,KU,FHUM,Postsecondary School,NA,NA,Marian Kallas,50,M,Opposition,Academic Historian
Warsaw University Faculty of History,90,1984-09-01,1980-02-01,IA01333,UW,FHIST,Postsecondary School,NA,NA,Mariusz Kamiński,23,M,Opposition,Student
Wrocław Polytechnic Faculty of Mining,91,1968-09-01,1972-08-31,IA01383,WRPOLY,FMIN,Postsecondary School,NA,NA,Henryk Karaś,40,M,Opposition,Worker Mining Engineer
Łódź University,92,1970-09-01,1974-08-31,IA00683,LU,NA,Postsecondary School,NA,NA,Rafał Kasprzyk,36,M,Opposition,Academic Law
Warsaw University Faculty of Geography and Regional Studies,93,1967-09-01,1971-08-31,IA01331,UW,FGEORS,Postsecondary School,NA,NA,Andrzej Kassenberg,40,M,Opposition,Academic Geographer
Warsaw Polytechnic Faculty of Environmental Engineering,94,1972-09-01,1989-02-01,IA01307,WPOLY,FENV,Postsecondary School,NA,NA,Janusz Kindler,54,M,Opposition,Academic Engineer
Higher School of Economics Katowice,95,1962-09-01,1966-08-31,IA00500,HSEK,NA,Postsecondary School,Katowice,NA,Andrzej Klasik,45,M,Opposition,Academic Economics
AGH Kraków Faculty of Mining,96,1954-09-01,1959-08-31,IA00202,AGH,FOM,Postsecondary School,Krakow,NA,Zdisław Kłeczek,51,M,Opposition,Academic Engineering
State Higher School of Fine Arts Gdańsk,97,1980-09-01,1984-08-31,IA01210,SHSFAG,NA,Postsecondary School,NA,NA,Wojciech Kłosowski,30,M,Opposition,Artist Sculpter
Warsaw University Faculty of History,98,1965-09-01,1960-08-31,IA01333,UW,FHIST,Postsecondary School,NA,NA,Jan Kofman,47,M,Opposition,Academic Historian
Declaration of Service Clubs for Independence,99,1981-09-27,1981-09-27,IA00366,DSCI,NA,Protest Statement,NA,NA,Ryszard Kostrzewa,42,M,Opposition,Worker
Warsaw Polytechnic Faculty of Architecture,100,1959-09-01,1963-08-31,IA01301,WPOLY,FARCH,Postsecondary School,NA,NA,Adam Tadeusz Kowalewski,48,M,Opposition,Academic Economist
AGH Kraków,102,1948-09-01,1962-08-31,IA00201,AGH,NA,Postsecondary School,Krakow,NA,Stefan Kozłowski,61,M,Opposition,Academic Geology
Gdańsk University Faculty of Law and Administration,103,1976-09-01,1980-08-31,IA00482,GU,FLA,Postsecondary School,Gdańsk,NA,Marek Krankowski,42,M,Opposition,Worker Administration
Warsaw University Faculty of Philosophy and Sociology,104,1966-09-01,1972-08-31,IA01343,UW,FPHSOC,Postsecondary School,NA,NA,Marcin Król,44,M,Opposition,Journalist
Technical School of Mining for Workers in Jastrzebie-Zdroj,105,1981-09-01,1983-08-31,IA01247,TSMWJZ,NA,Postsecondary School,NA,NA,Wiktor Krywulko,37,M,Opposition,Worker Mining Technician
Medical Academy Warsaw,106,1959-09-01,1963-08-31,IA00728,MEDAW,NA,Postsecondary School,NA,NA,Marek Kulerski,50,M,Opposition,Medical Doctor
Warsaw Teacher Training Institute,107,1956-09-01,1960-08-31,IA01316,WTTI,NA,Postsecondary School,NA,NA,Wiktor Kulerski,44,M,Opposition,Academic Historian
Warsaw University Faculty of Law and Administration,109,1965-09-01,1989-02-01,IA01336,UW,FLAA,Postsecondary School,NA,NA,Michał Kulesza,40,M,Opposition,Lawyer
Gdańsk Polytechnic Faculty of Chemistry,111,1949-09-01,1959-08-31,IA00468,GPOLY,FOCH,Postsecondary School,Gdańsk,NA,Gotfryd Kupryszewski,59,M,Opposition,Academic Chemistry
Warsaw University Faculty of Polish Philology,112,1948-09-01,1950-08-31,IA01344,UW,FPPH,Postsecondary School,NA,NA,Zofia Kuratowska,57,F,Opposition,Medical Doctor
Warsaw University Faculty of Philosophy and Sociology,113,1961-09-01,1965-08-31,IA01343,UW,FPHSOC,Postsecondary School,NA,NA,Jacek Kurczewski,46,M,Opposition,Academic Sociologist
Warsaw University Faculty of History,114,1952-09-01,1957-08-31,IA01333,UW,FHIST,Postsecondary School,NA,NA,Jacek Kuroń,54,M,Opposition,Academic Historian
Warsaw University Faculty of Law and Administration,115,1965-08-01,1989-02-01,IA01336,UW,FLAA,Postsecondary School,NA,NA,Wojciech Lamentowicz,42,M,Opposition,Academic Law
Jagiellonian University Faculty of Agriculture,116,1934-09-01,1938-08-31,IA00594,UJ,FAG,Postsecondary School,NA,NA,Antoni Leopold,72,M,Opposition,Academic Agriculture
Higher School of Agriculture Poznań,117,1957-09-01,1961-08-31,IA00498,HSAP,NA,Postsecondary School,Poznan,NA,Edward Lipiec,52,M,Opposition,Academic Agronomist
Jagiellonian University Faculty of Law,118,1960-09-01,1964-08-31,IA00597,UJ,FOL,Postsecondary School,NA,NA,Władysław Liwak,46,M,Opposition,Lawyer
Warsaw University Faculty of Political Economy,119,1965-09-01,1969-08-31,IA01345,UW,FPOLEC,Postsecondary School,NA,NA,Helena Łuczywo,43,F,Opposition,Journalist
School of Mechanized Loading Machines of the Executive Board Port of Gdańsk,120,1968-08-01,1970-09-01,IA01148,SMLM,NA,Factory,NA,NA,Bogdan Lis,36,M,Opposition,Worker Electrician
Warsaw University Faculty of Math and Physics,121,1963-09-01,1968-08-31,IA01340,UW,FMPH,Postsecondary School,NA,NA,Jan Lityński,43,M,Opposition,Academic Mathematician
Horticultural Technical College in Sochaczew,122,1971-09-01,1975-08-31,IA00512,HTCS,NA,Postsecondary School,Socharew,NA,Andrzej Łuszewski,32,M,Opposition,Worker Agriculture
Peasant Self-Defense Committees,124,1978-01-01,1980-12-31,IA01037,PSDC,NA,Opposition Group,NA,NA,Edward Małecki,47,M,Opposition,Worker Individual Farmer
Warsaw University Faculty of Law and Administration,125,1946-09-01,1949-08-31,IA01336,UW,FLAA,Postsecondary School,NA,NA,Tadeusz Mazowiecki,61,M,Opposition,Journalist
Wrocław Polytechnic,127,1960-09-01,1964-08-31,IA01381,WRPOLY,NA,Postsecondary School,NA,NA,Albin Melcer,46,M,Opposition,Worker Building Engineer
Gdańsk Polytechnic Institute of Shipbuilding,128,1974-09-01,1978-08-31,IA00472,GPOLY,ISHIP,Postsecondary School,Gdańsk,NA,Jacek Merkel,34,M,Opposition,Worker Engineer
Warsaw University Faculty of History,129,1964-09-01,1968-08-31,IA01333,UW,FHIST,Postsecondary School,NA,NA,Adam Michnik,42,M,Opposition,Academic Historian
Gdańsk Polytechnic Faculty of Marine Building,130,1954-09-01,1956-08-31,IA00469,GPOLY,FOMB,Postsecondary School,Gdańsk,NA,Witold Mieszkowski,50,M,Opposition,Academic Architect
Adam Mickiewicz University Faculty of Law and Administration,132,1958-09-01,1962-08-31,IA00192,AMU,FLA,Postsecondary School,Poznan,NA,Andrzej Milczanowski,49,M,Opposition,Lawyer
School of Technical-Mechanical Metallurgy in Warsaw,133,1978-09-01,1980-08-31,IA01152,STMMW,NA,Postsecondary School,NA,NA,Andrzej Miłkowski,49,M,Opposition,Worker Steelworker
Warsaw University Faculty of Law and Administration,134,1966-09-01,1970-08-31,IA01336,UW,FLAA,Postsecondary School,NA,NA,Jacek Moskwa,40,M,Opposition,Journalist
Łódź University Faculty of Law and Economics,135,1945-09-01,1949-08-31,IA00690,LU,FOLE,Postsecondary School,NA,NA,Jan Mujżel,65,M,Opposition,Academic Economics
Warsaw University Faculty of Math and Physics,136,1964-09-01,1968-08-31,IA01340,UW,FMPH,Postsecondary School,NA,NA,Michał Nawrocki,46,M,Opposition,Academic Physics
Warsaw Uprising,138,1944-08-01,1944-09-30,IA01368,POWWAW,NA,Protest Action,NA,NA,Róża Nowotna-Walcowa,66,F,Opposition,Medical Doctor
Academy of Physical Education Warsaw,139,1975-09-01,1978-08-31,IA00186,APEW,NA,Postsecondary School,Warsaw,NA,Edward Olszewski,33,M,Opposition,Worker Robotics
Warsaw University Faculty of Law and Administration,140,1949-09-01,1953-08-31,IA01336,UW,FLAA,Postsecondary School,NA,NA,Jan Olszewski,58,M,Opposition,Lawyer
Warsaw University Faculty of Math and Physics,141,1956-09-01,1960-08-31,IA01340,UW,FMPH,Postsecondary School,NA,NA,Janusz Onyszkiewicz,51,M,Opposition,Academic Mathematician
Wrocław University Faculty of Law,142,1959-09-01,1964-08-31,IA01390,WRU,FLAW,Postsecondary School,NA,NA,Walerian Pańko,47,M,Opposition,Academic Law
Warsaw Academy of Political Science Faculty of Consular and Diplomacy,143,1946-09-01,1950-08-31,IA01284,WAPS,FCAD,Postsecondary School,NA,NA,Aleksander Paszyński,60,M,Opposition,Journalist
Warsaw University Faculty of Law and Administration,144,1972-09-01,1976-08-31,IA01336,UW,FLAA,Postsecondary School,NA,NA,Krystyna Pawłowicz,36,F,Opposition,Academic Law
KWK “Manifest Lipcowy”,145,1974-01-01,1989-02-01,IA00636,KWKML,NA,Factory,NA,NA,Alojzy Pietrzyk,37,M,Opposition,Worker Miner
Warsaw University Faculty of History,146,1932-09-01,1938-08-31,IA01333,UW,FHIST,Postsecondary School,NA,NA,Edmund Jan Osmańczych,75,M,Opposition,Journalist
Adam Mickiewicz University Institute of Art History,147,1968-09-01,1982-12-31,IA00195,AMU,IAH,Postsecondary School,Poznan,NA,Janusz Pałubicki,41,M,Opposition,Academic Art History
Wrocław University Faculty of Law,148,1956-09-01,1961-08-31,IA01390,WRU,FLAW,Postsecondary School,NA,NA,Leszek Piotrowski,50,M,Opposition,Lawyer
Higher School of Economics Sopot,149,1950-09-01,1964-08-31,IA00503,HSES,NA,Postsecondary School,Sopot,NA,Zygmunt Polański,59,M,Opposition,Academic Economics
Silesia University Faculty of Law and Administration in Katowice,150,1981-01-01,1986-12-31,IA01170,SILU,FLAA,NA,NA,NA,Piotr Polmański,34,M,Opposition,Worker Miner
Copernicus University Faculty of Fine Arts,151,1954-09-01,1958-08-31,IA00348,KU,FFA,Postsecondary School,NA,NA,Jerzy Puciata,55,M,Opposition,Artist
Technical School of Auto Mechanics Szczecin,152,1974-08-31,1977-09-01,IA01245,TSAMS,NA,Postsecondary School,NA,NA,Edward Radziewicz,41,M,Opposition,Worker Mechanic
Adam Mickiewicz University Faculty of Polish Philology,153,1956-09-01,1960-08-31,IA00193,AMU,FPP,Postsecondary School,Poznan,NA,Julian Radziewicz,51,M,Opposition,Academic Pedagogy
Warsaw University Faculty of History,154,1957-09-01,1961-08-31,IA01333,UW,FHIST,Postsecondary School,NA,NA,Anna Radziwiłł,52,F,Opposition,Academic Historian
Medical Academy Wrocław Faculty of Medicine,155,1956-09-01,1960-08-31,IA00730,MEDAWR,FOMED,Postsecondary School,NA,NA,Krzysztof Rajpert,55,M,Opposition,Medical Doctor
Warsaw Polytechnic Faculty of Engineering,156,1943-09-01,1952-08-31,IA01303,WPOLY,FENG,Postsecondary School,NA,NA,Jerzy Regulski,64,M,Opposition,Academic Economist
Medical Academy Gdańsk,157,1982-09-01,1989-02-01,IA00713,MEDAG,NA,Postsecondary School,NA,NA,Janusz Reguła,24,M,Opposition,Medical Doctor
AGH Kraków Faculty of Mining,159,1971-09-01,1975-08-31,IA00202,AGH,FOM,Postsecondary School,Krakow,NA,Czesław Robakowski,40,M,Opposition,Worker Miner
Technical School of Building Szczecin,160,1955-09-01,1958-08-31,IA01246,TSBS,NA,Postsecondary School,NA,NA,Zbigniew Rokicki,41,M,Opposition,Worker Farmer
Jagiellonian University Faculty of Law,161,1979-09-01,1983-08-31,IA00597,UJ,FOL,Postsecondary School,NA,NA,Jan Rokita,29,M,Opposition,Lawyer
Warsaw University Faculty of Math and Physics,162,1960-09-01,1964-08-31,IA01340,UW,FMPH,Postsecondary School,NA,NA,Zbigniew Romaszewski,49,M,Opposition,Academic Physics
Warsaw University Faculty of Law and Administration,163,1924-09-01,1928-08-31,IA01336,UW,FLAA,Postsecondary School,NA,NA,Jan Rosner,83,M,Opposition,Academic Economics
Warsaw University Faculty of History,165,1948-09-01,1952-08-31,IA01333,UW,FHIST,Postsecondary School,NA,NA,Henryk Rutkowski,59,M,Opposition,Academic Historian
“Red Number One” Warsaw Scout Troop,166,1966-01-01,1974-12-31,IA01126,RED1WST,NA,Scouting Organization,NA,NA,Zbigniew W. Rykowski,32,M,Opposition,Academic Sociologist
Warsaw University Faculty of Humanities,168,1946-09-01,1950-08-31,IA01334,UW,FHUM,Postsecondary School,NA,NA,Henryk Samsonowicz,59,M,Opposition,Academic Historian
AGH Kraków Department of Organization and Management,169,1975-09-01,1979-08-31,IA00204,AGH,DOM,Postsecondary School,Krakow,NA,Janusz Sanocki,34,M,Opposition,Worker
NSZZ Solidarność Member,170,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Adolf Sapkowski,62,M,Opposition,Worker Engineer
Gdańsk University Humanities Division,171,1984-09-01,1988-08-31,IA00477,GU,DHUM,Postsecondary School,Gdańsk,NA,Jarosław Sellin,25,M,Opposition,Academic
Medical Academy Wrocław Faculty of Medicine,172,1963-10-01,1968-05-01,IA00730,MEDAWR,FOMED,Postsecondary School,NA,NA,Władysław Sidorowicz,54,M,Opposition,Medical Doctor
Warsaw University Faculty of Law and Administration,173,1931-09-01,1935-08-31,IA01336,UW,FLAA,Postsecondary School,NA,NA,Władysław Siła-Nowicki,75,M,Government,Lawyer
Medical Academy Gdańsk,175,1946-09-01,1949-08-31,IA00713,MEDAG,NA,Postsecondary School,NA,NA,Magdalena Sokołowska,66,F,Opposition,Academic
Gdańsk University Department of Economics and Foreign Trade,176,1984-09-01,1989-02-01,IA00478,GU,DECON,Postsecondary School,Gdańsk,NA,Andrzej Sosnowski,25,M,Opposition,Student
Jagiellonian University Faculty of Polish Philology,177,1967-09-01,1971-08-31,IA00601,UJ,FPP,Postsecondary School,NA,NA,Grażyna Staniszewska,39,F,Opposition,Academic
Home Army,179,1943-01-01,1945-09-01,IA00513,AK,NA,Paramilitary Group,NA,NA,Adam Stanowski,61,M,Opposition,Academic
Warsaw University Faculty of Polish Philology,180,1954-09-01,1958-08-31,IA01344,UW,FPPH,Postsecondary School,NA,NA,Krystyna Starczewska,51,F,Opposition,Academic
KOR Collaborator,181,1976-09-01,1977-09-01,IA00625,KOR,NA,Opposition Group,NA,NA,Stefan Starczewski,53,M,Opposition,Academic
Warsaw University Faculty of Pedagogy,182,1958-09-01,1962-08-31,IA01342,UW,FPED,Postsecondary School,NA,NA,Joanna Staręga-Piasek,49,F,Opposition,Academic
Copernicus University Faculty of Astronomy,183,1951-09-01,1955-08-31,IA00347,KU,FAST,Postsecondary School,NA,NA,Antoni Stawikowski,55,M,Opposition,Academic
Poznań University Faculty of Biology and Earth Science,184,1954-09-01,1959-08-31,IA01091,PZU,FBES,Postsecondary School,NA,NA,Kazimierz Stępczak,52,M,Opposition,Academic
Warsaw University Faculty of Law and Administration,185,1964-09-01,1969-08-31,IA01336,UW,FLAA,Postsecondary School,NA,NA,Jerzy Stępien,42,M,Opposition,Lawyer
Stefan Batory University Wilno Faculty of Law,187,1928-09-01,1932-08-31,IA01214,SBU,FLAW,Postsecondary School,NA,NA,Stanisław Stomma,81,M,Opposition,Academic
Jagiellonian University Faculty of Law,188,1949-09-01,1953-08-31,IA00597,UJ,FOL,Postsecondary School,NA,NA,Adam Strzembosz,58,M,Opposition,Lawyer
Warsaw University Faculty of Physics,189,1973-09-01,1978-08-31,IA01339,UW,FPHYS,Postsecondary School,NA,NA,Andrzej Suchocki,35,M,Opposition,Academic
Łódź University Department of the Science of Morality,190,1945-09-01,1947-08-31,IA00685,LU,DSM,Postsecondary School,NA,NA,Klemens Szaniawski,63,M,Opposition,Academic
Medical Academy Kraków,191,1956-09-01,1961-08-31,IA00719,MEDAK,NA,Postsecondary School,NA,NA,Andrzej Szczeklik,50,M,Opposition,Medical Doctor
Home Army,192,1943-01-01,1944-12-31,IA00513,AK,NA,Paramilitary Group,NA,NA,Jan Józef Szczepański,70,M,Opposition,Journalist
Warsaw University Faculty of History,193,1967-09-01,1973-08-31,IA01333,UW,FHIST,Postsecondary School,NA,NA,Jarosław Józef Szczepański,38,M,Opposition,Academic
Białogard Electrical-Mechanical Technical School,194,1972-09-01,1974-08-31,IA00260,BEMT,NA,Postsecondary School,NA,NA,Edward Szwajkiewicz,34,M,Opposition,Worker Electrician
